model,cluster,lambda,S_model,S_constant,S_human
gigchat3,2,0.2,0.7477470962086347,0.7846875,0.7647244791666665
gigchat3,2,0.25,0.7517565198334429,0.7846875,0.7789296875
gigchat3,2,0.3,0.7557659434582511,0.7846875,0.7931348958333333
gigchat3,2,0.35,0.7597753670830595,0.7846875,0.8073401041666666
gigchat3,2,0.4,0.7637847907078678,0.7846875,0.8215453125000001
gigchat3,2,0.45,0.7677942143326759,0.7846875,0.8357505208333333
gigchat3,2,0.5,0.7718036379574841,0.7846875,0.8499557291666666
gigchat3,2,0.6,0.7798224852071006,0.7846875,0.8783661458333333
gigchat3,2,0.75,0.7918507560815252,0.7846875,0.9209817708333332
gigchat3,2,1.0,0.8118978742055665,0.7846875,0.9920078124999999
gigchat3,3,0.0,0.6636796875,0.7790625000000001,0.692015625
gigchat3,3,0.05,0.6724688802083333,0.7790625000000001,0.7076106770833335
gigchat3,3,0.1,0.6812580729166666,0.7790625000000001,0.7232057291666667
gigchat3,3,0.15,0.690047265625,0.7790625000000001,0.7388007812499999
gigchat3,3,0.2,0.6988364583333334,0.7790625000000001,0.7543958333333334
gigchat3,3,0.25,0.7076256510416667,0.7790625000000001,0.7699908854166666
gigchat3,3,0.3,0.7164148437500001,0.7790625000000001,0.7855859375
gigchat3,3,0.35,0.7252040364583333,0.7790625000000001,0.8011809895833333
gigchat3,3,0.4,0.7339932291666665,0.7790625000000001,0.8167760416666667
gigchat3,3,0.45,0.742782421875,0.7790625000000001,0.8323710937500001
gigchat3,3,0.5,0.7515716145833333,0.7790625000000001,0.8479661458333335
gigchat3,3,0.6,0.76915,0.7790625000000001,0.8791562499999999
gigchat3,3,0.75,0.7955175781250001,0.7790625000000001,0.92594140625
gigchat3,3,1.0,0.8394635416666667,0.7790625000000001,1.0039166666666666
gpt4_mini,0,0.0,0.6438072916666667,0.7936458333333334,0.7236484375
gpt4_mini,0,0.05,0.6477307291666666,0.7936458333333334,0.7371251302083334
gpt4_mini,0,0.1,0.6516541666666666,0.7936458333333334,0.7506018229166666
gpt4_mini,0,0.15,0.6555776041666665,0.7936458333333334,0.764078515625
gpt4_mini,0,0.2,0.6595010416666668,0.7936458333333334,0.7775552083333334
gpt4_mini,0,0.25,0.6634244791666667,0.7936458333333334,0.7910319010416667
gpt4_mini,0,0.3,0.6673479166666667,0.7936458333333334,0.8045085937500001
gpt4_mini,0,0.35,0.6712713541666666,0.7936458333333334,0.8179852864583333
gpt4_mini,0,0.4,0.6751947916666665,0.7936458333333334,0.8314619791666666
gpt4_mini,0,0.45,0.6791182291666668,0.7936458333333334,0.8449386718749999
gpt4_mini,0,0.5,0.6830416666666667,0.7936458333333334,0.8584153645833332
gpt4_mini,0,0.6,0.6908885416666666,0.7936458333333334,0.8853687499999999
gpt4_mini,0,0.75,0.7026588541666666,0.7936458333333334,0.925798828125
gpt4_mini,0,1.0,0.7222760416666667,0.7936458333333334,0.9931822916666666
gpt4_mini,1,0.0,0.6285364583333333,0.82703125,0.7550338541666667
gpt4_mini,1,0.05,0.632446875,0.82703125,0.7674721354166666
gpt4_mini,1,0.1,0.6363572916666667,0.82703125,0.7799104166666667
gpt4_mini,1,0.15,0.6402677083333332,0.82703125,0.7923486979166666
gpt4_mini,1,0.2,0.644178125,0.82703125,0.8047869791666666
gpt4_mini,1,0.25,0.6480885416666666,0.82703125,0.8172252604166667
gpt4_mini,1,0.3,0.6519989583333333,0.82703125,0.8296635416666667
gpt4_mini,1,0.35,0.655909375,0.82703125,0.8421018229166667
gpt4_mini,1,0.4,0.6598197916666666,0.82703125,0.8545401041666667
gpt4_mini,1,0.45,0.6637302083333334,0.82703125,0.8669783854166667
gpt4_mini,1,0.5,0.667640625,0.82703125,0.8794166666666666
gpt4_mini,1,0.6,0.6754614583333333,0.82703125,0.9042932291666668
gpt4_mini,1,0.75,0.6871927083333333,0.82703125,0.9416080729166666
gpt4_mini,1,1.0,0.7067447916666666,0.82703125,1.0037994791666667
gpt4_mini,2,0.0,0.692578125,0.7846875,0.7079036458333333
gpt4_mini,2,0.05,0.6975015625,0.7846875,0.7221088541666667
gpt4_mini,2,0.1,0.7024250000000001,0.7846875,0.7363140625
gpt4_mini,2,0.15,0.7073484375,0.7846875,0.7505192708333334
gpt4_mini,2,0.2,0.712271875,0.7846875,0.7647244791666665
gpt4_mini,2,0.25,0.7171953125,0.7846875,0.7789296875
gpt4_mini,2,0.3,0.72211875,0.7846875,0.7931348958333333
gpt4_mini,2,0.35,0.7270421875,0.7846875,0.8073401041666666
gpt4_mini,2,0.4,0.7319656250000001,0.7846875,0.8215453125000001
gpt4_mini,2,0.45,0.7368890625,0.7846875,0.8357505208333333
gpt4_mini,2,0.5,0.7418125000000001,0.7846875,0.8499557291666666
gpt4_mini,2,0.6,0.7516593750000001,0.7846875,0.8783661458333333
gpt4_mini,2,0.75,0.7664296875000001,0.7846875,0.9209817708333332
gpt4_mini,2,1.0,0.7910468749999999,0.7846875,0.9920078124999999
gpt4_mini,3,0.0,0.6459973958333334,0.7790625000000001,0.692015625
gpt4_mini,3,0.05,0.6495395833333333,0.7790625000000001,0.7076106770833335
gpt4_mini,3,0.1,0.6530817708333334,0.7790625000000001,0.7232057291666667
gpt4_mini,3,0.15,0.6566239583333332,0.7790625000000001,0.7388007812499999
gpt4_mini,3,0.2,0.6601661458333334,0.7790625000000001,0.7543958333333334
gpt4_mini,3,0.25,0.6637083333333333,0.7790625000000001,0.7699908854166666
gpt4_mini,3,0.3,0.6672505208333332,0.7790625000000001,0.7855859375
gpt4_mini,3,0.35,0.6707927083333334,0.7790625000000001,0.8011809895833333
gpt4_mini,3,0.4,0.6743348958333333,0.7790625000000001,0.8167760416666667
gpt4_mini,3,0.45,0.6778770833333333,0.7790625000000001,0.8323710937500001
gpt4_mini,3,0.5,0.6814192708333333,0.7790625000000001,0.8479661458333335
gpt4_mini,3,0.6,0.6885036458333335,0.7790625000000001,0.8791562499999999
gpt4_mini,3,0.75,0.6991302083333333,0.7790625000000001,0.92594140625
gpt4_mini,3,1.0,0.7168411458333334,0.7790625000000001,1.0039166666666666
gpt4_nano,0,0.0,0.6607994791666667,0.7936458333333334,0.7236484375
gpt4_nano,0,0.05,0.6643041666666666,0.7936458333333334,0.7371251302083334
gpt4_nano,0,0.1,0.6678088541666667,0.7936458333333334,0.7506018229166666
gpt4_nano,0,0.15,0.6713135416666667,0.7936458333333334,0.764078515625
gpt4_nano,0,0.2,0.6748182291666666,0.7936458333333334,0.7775552083333334
gpt4_nano,0,0.25,0.6783229166666668,0.7936458333333334,0.7910319010416667
gpt4_nano,0,0.3,0.6818276041666667,0.7936458333333334,0.8045085937500001
gpt4_nano,0,0.35,0.6853322916666668,0.7936458333333334,0.8179852864583333
gpt4_nano,0,0.4,0.6888369791666666,0.7936458333333334,0.8314619791666666
gpt4_nano,0,0.45,0.6923416666666665,0.7936458333333334,0.8449386718749999
gpt4_nano,0,0.5,0.6958463541666667,0.7936458333333334,0.8584153645833332
gpt4_nano,0,0.6,0.7028557291666666,0.7936458333333334,0.8853687499999999
gpt4_nano,0,0.75,0.7133697916666667,0.7936458333333334,0.925798828125
gpt4_nano,0,1.0,0.7308932291666667,0.7936458333333334,0.9931822916666666
gpt4_nano,1,0.0,0.6709973958333334,0.82703125,0.7550338541666667
gpt4_nano,1,0.05,0.6732497395833335,0.82703125,0.7674721354166666
gpt4_nano,1,0.1,0.6755020833333334,0.82703125,0.7799104166666667
gpt4_nano,1,0.15,0.6777544270833334,0.82703125,0.7923486979166666
gpt4_nano,1,0.2,0.6800067708333334,0.82703125,0.8047869791666666
gpt4_nano,1,0.25,0.6822591145833333,0.82703125,0.8172252604166667
gpt4_nano,1,0.3,0.6845114583333334,0.82703125,0.8296635416666667
gpt4_nano,1,0.35,0.6867638020833333,0.82703125,0.8421018229166667
gpt4_nano,1,0.4,0.6890161458333334,0.82703125,0.8545401041666667
gpt4_nano,1,0.45,0.6912684895833333,0.82703125,0.8669783854166667
gpt4_nano,1,0.5,0.6935208333333333,0.82703125,0.8794166666666666
gpt4_nano,1,0.6,0.6980255208333334,0.82703125,0.9042932291666668
gpt4_nano,1,0.75,0.7047825520833334,0.82703125,0.9416080729166666
gpt4_nano,1,1.0,0.7160442708333333,0.82703125,1.0037994791666667
gpt4_nano,2,0.0,0.6866223958333334,0.7846875,0.7079036458333333
gpt4_nano,2,0.05,0.6895131510416665,0.7846875,0.7221088541666667
gpt4_nano,2,0.1,0.6924039062499999,0.7846875,0.7363140625
gpt4_nano,2,0.15,0.6952946614583334,0.7846875,0.7505192708333334
gpt4_nano,2,0.2,0.6981854166666667,0.7846875,0.7647244791666665
gpt4_nano,2,0.25,0.7010761718749999,0.7846875,0.7789296875
gpt4_nano,2,0.3,0.7039669270833334,0.7846875,0.7931348958333333
gpt4_nano,2,0.35,0.7068576822916666,0.7846875,0.8073401041666666
gpt4_nano,2,0.4,0.7097484375,0.7846875,0.8215453125000001
gpt4_nano,2,0.45,0.7126391927083334,0.7846875,0.8357505208333333
gpt4_nano,2,0.5,0.7155299479166667,0.7846875,0.8499557291666666
gpt4_nano,2,0.6,0.7213114583333334,0.7846875,0.8783661458333333
gpt4_nano,2,0.75,0.7299837239583333,0.7846875,0.9209817708333332
gpt4_nano,2,1.0,0.7444375,0.7846875,0.9920078124999999
gpt4_nano,3,0.0,0.65853125,0.7790625000000001,0.692015625
gpt4_nano,3,0.05,0.6634561197916666,0.7790625000000001,0.7076106770833335
gpt4_nano,3,0.1,0.6683809895833334,0.7790625000000001,0.7232057291666667
gpt4_nano,3,0.15,0.673305859375,0.7790625000000001,0.7388007812499999
gpt4_nano,3,0.2,0.6782307291666666,0.7790625000000001,0.7543958333333334
gpt4_nano,3,0.25,0.6831555989583333,0.7790625000000001,0.7699908854166666
gpt4_nano,3,0.3,0.6880804687500001,0.7790625000000001,0.7855859375
gpt4_nano,3,0.35,0.6930053385416666,0.7790625000000001,0.8011809895833333
gpt4_nano,3,0.4,0.6979302083333333,0.7790625000000001,0.8167760416666667
gpt4_nano,3,0.45,0.7028550781249999,0.7790625000000001,0.8323710937500001
gpt4_nano,3,0.5,0.7077799479166667,0.7790625000000001,0.8479661458333335
gpt4_nano,3,0.6,0.7176296875000001,0.7790625000000001,0.8791562499999999
gpt4_nano,3,0.75,0.732404296875,0.7790625000000001,0.92594140625
gpt4_nano,3,1.0,0.7570286458333334,0.7790625000000001,1.0039166666666666
grok4.1_fast,0,0.0,0.5872421875,0.7936458333333334,0.7236484375
grok4.1_fast,0,0.05,0.5931165364583334,0.7936458333333334,0.7371251302083334
grok4.1_fast,0,0.1,0.5989908854166667,0.7936458333333334,0.7506018229166666
grok4.1_fast,0,0.15,0.604865234375,0.7936458333333334,0.764078515625
grok4.1_fast,0,0.2,0.6107395833333334,0.7936458333333334,0.7775552083333334
grok4.1_fast,0,0.25,0.6166139322916667,0.7936458333333334,0.7910319010416667
grok4.1_fast,0,0.3,0.6224882812499999,0.7936458333333334,0.8045085937500001
grok4.1_fast,0,0.35,0.6283626302083334,0.7936458333333334,0.8179852864583333
grok4.1_fast,0,0.4,0.6342369791666667,0.7936458333333334,0.8314619791666666
grok4.1_fast,0,0.45,0.640111328125,0.7936458333333334,0.8449386718749999
grok4.1_fast,0,0.5,0.6459856770833333,0.7936458333333334,0.8584153645833332
grok4.1_fast,0,0.6,0.6577343750000001,0.7936458333333334,0.8853687499999999
grok4.1_fast,0,0.75,0.675357421875,0.7936458333333334,0.925798828125
grok4.1_fast,0,1.0,0.7047291666666666,0.7936458333333334,0.9931822916666666
grok4.1_fast,1,0.0,0.5804322916666667,0.82703125,0.7550338541666667
grok4.1_fast,1,0.05,0.5835834635416667,0.82703125,0.7674721354166666
grok4.1_fast,1,0.1,0.5867346354166666,0.82703125,0.7799104166666667
grok4.1_fast,1,0.15,0.5898858072916666,0.82703125,0.7923486979166666
grok4.1_fast,1,0.2,0.5930369791666666,0.82703125,0.8047869791666666
grok4.1_fast,1,0.25,0.5961881510416667,0.82703125,0.8172252604166667
grok4.1_fast,1,0.3,0.5993393229166666,0.82703125,0.8296635416666667
grok4.1_fast,1,0.35,0.6024904947916667,0.82703125,0.8421018229166667
grok4.1_fast,1,0.4,0.6056416666666666,0.82703125,0.8545401041666667
grok4.1_fast,1,0.45,0.6087928385416668,0.82703125,0.8669783854166667
grok4.1_fast,1,0.5,0.6119440104166666,0.82703125,0.8794166666666666
grok4.1_fast,1,0.6,0.6182463541666666,0.82703125,0.9042932291666668
grok4.1_fast,1,0.75,0.6276998697916666,0.82703125,0.9416080729166666
grok4.1_fast,1,1.0,0.6434557291666666,0.82703125,1.0037994791666667
grok4.1_fast,2,0.0,0.6480260416666667,0.7846875,0.7079036458333333
grok4.1_fast,2,0.05,0.6545445312499999,0.7846875,0.7221088541666667
grok4.1_fast,2,0.1,0.6610630208333333,0.7846875,0.7363140625
grok4.1_fast,2,0.15,0.6675815104166667,0.7846875,0.7505192708333334
grok4.1_fast,2,0.2,0.6740999999999999,0.7846875,0.7647244791666665
grok4.1_fast,2,0.25,0.6806184895833334,0.7846875,0.7789296875
grok4.1_fast,2,0.3,0.6871369791666666,0.7846875,0.7931348958333333
grok4.1_fast,2,0.35,0.69365546875,0.7846875,0.8073401041666666
grok4.1_fast,2,0.4,0.7001739583333333,0.7846875,0.8215453125000001
grok4.1_fast,2,0.45,0.7066924479166669,0.7846875,0.8357505208333333
grok4.1_fast,2,0.5,0.7132109374999999,0.7846875,0.8499557291666666
grok4.1_fast,2,0.6,0.7262479166666667,0.7846875,0.8783661458333333
grok4.1_fast,2,0.75,0.7458033854166667,0.7846875,0.9209817708333332
grok4.1_fast,2,1.0,0.7783958333333333,0.7846875,0.9920078124999999
grok4.1_fast,3,0.0,0.6079739583333333,0.7790625000000001,0.692015625
grok4.1_fast,3,0.05,0.6121915364583332,0.7790625000000001,0.7076106770833335
grok4.1_fast,3,0.1,0.6164091145833335,0.7790625000000001,0.7232057291666667
grok4.1_fast,3,0.15,0.6206266927083334,0.7790625000000001,0.7388007812499999
grok4.1_fast,3,0.2,0.6248442708333334,0.7790625000000001,0.7543958333333334
grok4.1_fast,3,0.25,0.6290618489583333,0.7790625000000001,0.7699908854166666
grok4.1_fast,3,0.3,0.6332794270833333,0.7790625000000001,0.7855859375
grok4.1_fast,3,0.35,0.6374970052083332,0.7790625000000001,0.8011809895833333
grok4.1_fast,3,0.4,0.6417145833333334,0.7790625000000001,0.8167760416666667
grok4.1_fast,3,0.45,0.6459321614583333,0.7790625000000001,0.8323710937500001
grok4.1_fast,3,0.5,0.6501497395833333,0.7790625000000001,0.8479661458333335
grok4.1_fast,3,0.6,0.6585848958333334,0.7790625000000001,0.8791562499999999
grok4.1_fast,3,0.75,0.6712376302083333,0.7790625000000001,0.92594140625
grok4.1_fast,3,1.0,0.6923255208333334,0.7790625000000001,1.0039166666666666
qwen3,0,0.0,0.6207604166666667,0.7936458333333334,0.7236484375
qwen3,0,0.05,0.6273514322916666,0.7936458333333334,0.7371251302083334
qwen3,0,0.1,0.6339424479166667,0.7936458333333334,0.7506018229166666
qwen3,0,0.15,0.6405334635416666,0.7936458333333334,0.764078515625
qwen3,0,0.2,0.6471244791666666,0.7936458333333334,0.7775552083333334
qwen3,0,0.25,0.6537154947916667,0.7936458333333334,0.7910319010416667
qwen3,0,0.3,0.6603065104166668,0.7936458333333334,0.8045085937500001
qwen3,0,0.35,0.6668975260416666,0.7936458333333334,0.8179852864583333
qwen3,0,0.4,0.6734885416666666,0.7936458333333334,0.8314619791666666
qwen3,0,0.45,0.6800795572916667,0.7936458333333334,0.8449386718749999
qwen3,0,0.5,0.6866705729166667,0.7936458333333334,0.8584153645833332
qwen3,0,0.6,0.6998526041666667,0.7936458333333334,0.8853687499999999
qwen3,0,0.75,0.7196256510416668,0.7936458333333334,0.925798828125
qwen3,0,1.0,0.7525807291666666,0.7936458333333334,0.9931822916666666
qwen3,1,0.0,0.6086432291666668,0.82703125,0.7550338541666667
qwen3,1,0.05,0.6115434895833334,0.82703125,0.7674721354166666
qwen3,1,0.1,0.61444375,0.82703125,0.7799104166666667
qwen3,1,0.15,0.6173440104166665,0.82703125,0.7923486979166666
qwen3,1,0.2,0.6202442708333334,0.82703125,0.8047869791666666
qwen3,1,0.25,0.62314453125,0.82703125,0.8172252604166667
qwen3,1,0.3,0.6260447916666666,0.82703125,0.8296635416666667
qwen3,1,0.35,0.6289450520833334,0.82703125,0.8421018229166667
qwen3,1,0.4,0.6318453125,0.82703125,0.8545401041666667
qwen3,1,0.45,0.6347455729166666,0.82703125,0.8669783854166667
qwen3,1,0.5,0.6376458333333335,0.82703125,0.8794166666666666
qwen3,1,0.6,0.6434463541666666,0.82703125,0.9042932291666668
qwen3,1,0.75,0.6521471354166667,0.82703125,0.9416080729166666
qwen3,1,1.0,0.6666484374999999,0.82703125,1.0037994791666667
qwen3,2,0.0,0.6654791666666665,0.7846875,0.7079036458333333
qwen3,2,0.05,0.6709144531250001,0.7846875,0.7221088541666667
qwen3,2,0.1,0.6763497395833333,0.7846875,0.7363140625
qwen3,2,0.15,0.6817850260416667,0.7846875,0.7505192708333334
qwen3,2,0.2,0.6872203125000002,0.7846875,0.7647244791666665
qwen3,2,0.25,0.6926555989583335,0.7846875,0.7789296875
qwen3,2,0.3,0.6980908854166666,0.7846875,0.7931348958333333
qwen3,2,0.35,0.703526171875,0.7846875,0.8073401041666666
qwen3,2,0.4,0.7089614583333333,0.7846875,0.8215453125000001
qwen3,2,0.45,0.7143967447916666,0.7846875,0.8357505208333333
qwen3,2,0.5,0.71983203125,0.7846875,0.8499557291666666
qwen3,2,0.6,0.7307026041666667,0.7846875,0.8783661458333333
qwen3,2,0.75,0.7470084635416666,0.7846875,0.9209817708333332
qwen3,2,1.0,0.7741848958333334,0.7846875,0.9920078124999999
qwen3,3,0.0,0.6289244791666667,0.7790625000000001,0.692015625
qwen3,3,0.05,0.6348518229166668,0.7790625000000001,0.7076106770833335
qwen3,3,0.1,0.6407791666666666,0.7790625000000001,0.7232057291666667
qwen3,3,0.15,0.6467065104166667,0.7790625000000001,0.7388007812499999
qwen3,3,0.2,0.6526338541666666,0.7790625000000001,0.7543958333333334
qwen3,3,0.25,0.6585611979166667,0.7790625000000001,0.7699908854166666
qwen3,3,0.3,0.6644885416666665,0.7790625000000001,0.7855859375
qwen3,3,0.35,0.6704158854166666,0.7790625000000001,0.8011809895833333
qwen3,3,0.4,0.6763432291666668,0.7790625000000001,0.8167760416666667
qwen3,3,0.45,0.6822705729166666,0.7790625000000001,0.8323710937500001
qwen3,3,0.5,0.6881979166666667,0.7790625000000001,0.8479661458333335
qwen3,3,0.6,0.7000526041666666,0.7790625000000001,0.8791562499999999
qwen3,3,0.75,0.7178346354166666,0.7790625000000001,0.92594140625
qwen3,3,1.0,0.7474713541666667,0.7790625000000001,1.0039166666666666
