preprocessing,k,inertia,silhouette,calinski_harabasz,davies_bouldin,gap,gap_sd,ari_vs_shipped
zscore,14,7917931.195696943,0.05398804243738832,17481.173613505438,2.6041171679548465,0.2812362559852968,0.0012262223191268397,0.19077310393162997
zscore,15,7854434.317369796,0.05302424644013612,16600.546357841755,2.6390602408276425,0.2849117390129905,0.0011421969536544335,0.1796020197804029
ipsative,2,7885410435.93122,0.13556681376613622,69681.56953393752,2.3819235970181,0.8525260542405313,0.0011949093499275464,0.22098903407438483
ipsative,3,7343334919.098551,0.10208127208587219,52551.657566334026,2.5077624018468527,0.9037740369223286,0.0011564207011364757,0.49487083402446225
ipsative,4,7006033442.476801,0.0834476177633467,43303.45028192395,2.485771945275773,0.9355237640201466,0.0011740861649302047,0.7318884915251065
ipsative,5,6778622349.186627,0.08099548121531214,37007.120464852684,2.5557576580511823,0.9578412837350321,0.0012082903757899125,0.5267357798259992
ipsative,6,6618462817.014131,0.06942759662465035,32307.11073480889,2.693333348838878,0.972072745566738,0.0013607176422990419,0.4507325089181112
ipsative,7,6483014741.1577635,0.06601619721795357,28913.25441933533,2.7641901618596862,0.9844742855512436,0.001348402503403283,0.37930758789713204
ipsative,8,6369973227.320648,0.06321429136816595,26262.328271652834,2.6894288564823245,0.9952764498152789,0.0011438881959295307,0.31561108352644957
ipsative,9,6269883607.277398,0.05791537373277082,24164.76367565128,2.651922199353438,1.0047486421938636,0.0012303544849665156,0.26784066670635953
ipsative,10,6182335605.45765,0.05828351402928982,22429.26984245888,2.596326212619854,1.0130652501115733,0.0012127203619756095,0.24285057464445772
ipsative,11,6110989183.060263,0.05665253851916767,20900.830099772662,2.6143132860117464,1.0187736556761493,0.0011619404107241504,0.2184624459985538
ipsative,12,6050308603.053239,0.055355359995567004,19565.234370217127,2.650364460582117,1.023821689183638,0.001366541162820676,0.21312440009618344
ipsative,13,5994674936.408596,0.050774152271448464,18418.40835840109,2.7141658670802085,1.0279540945137526,0.0013607740707693413,0.20013104998543244
ipsative,14,5945265632.225757,0.05015463417105043,17405.061506316597,2.715056632892519,1.0315062706876503,0.0011406523883445842,0.18936222242878478
ipsative,15,5900000163.662522,0.046543091938633485,16510.603166624394,2.7665440265087105,1.0346319379393307,0.0012672166559235419,0.17762021199178452
