model,cluster,variant,c2st_model,c2st_human_ceiling,c2st_constant_floor
gpt4_mini,3,C_ipsatised,0.99,0.5740000000000001,0.97875
gpt4_mini,3,D_facets_only,0.9974999999999999,0.6045,0.9400000000000001
gpt4_mini,3,E_forward_only,0.9964999999999999,0.55075,0.7100000000000001
gpt4_mini,3,E_reverse_only,0.9875,0.58325,0.7837500000000001
gpt4_nano,0,A_full_items,0.9712500000000001,0.5775,0.9550000000000001
gpt4_nano,0,B_style_only,0.9784999999999998,0.557625,0.9974999999999999
gpt4_nano,0,C_ipsatised,0.95625,0.58525,0.9824999999999999
gpt4_nano,0,D_facets_only,0.9949999999999999,0.59025,0.9875
gpt4_nano,0,E_forward_only,0.9925,0.5766249999999999,0.845
gpt4_nano,0,E_reverse_only,0.9724999999999999,0.587,0.8462500000000001
gpt4_nano,1,A_full_items,0.9862500000000001,0.56525,0.99375
gpt4_nano,1,B_style_only,0.9728750000000002,0.5643749999999998,0.9875
gpt4_nano,1,C_ipsatised,0.9887500000000001,0.5549999999999999,0.99125
gpt4_nano,1,D_facets_only,0.9962500000000001,0.5662499999999999,0.99375
gpt4_nano,1,E_forward_only,0.99475,0.5743750000000001,0.915
gpt4_nano,1,E_reverse_only,0.9862500000000001,0.57175,0.9724999999999999
gpt4_nano,2,A_full_items,0.9775,0.54925,0.8875
gpt4_nano,2,B_style_only,0.9702500000000001,0.546125,0.9937500000000001
gpt4_nano,2,C_ipsatised,0.96,0.55075,0.9925
gpt4_nano,2,D_facets_only,0.9737500000000001,0.56175,0.85625
gpt4_nano,2,E_forward_only,0.98675,0.5685,0.7700000000000001
gpt4_nano,2,E_reverse_only,0.9775,0.5904999999999999,0.77125
gpt4_nano,3,A_full_items,0.9674999999999999,0.5635,0.8675
gpt4_nano,3,B_style_only,0.97525,0.596125,0.9962500000000001
gpt4_nano,3,C_ipsatised,0.9737499999999999,0.5740000000000001,0.97875
gpt4_nano,3,D_facets_only,0.99,0.6045,0.9400000000000001
gpt4_nano,3,E_forward_only,1.0,0.55075,0.7100000000000001
gpt4_nano,3,E_reverse_only,0.9674999999999999,0.58325,0.7837500000000001
grok4.1_fast,0,A_full_items,0.9437499999999999,0.5775,0.9550000000000001
grok4.1_fast,0,B_style_only,0.991,0.557625,0.9974999999999999
grok4.1_fast,0,C_ipsatised,0.9650000000000001,0.58525,0.9824999999999999
grok4.1_fast,0,D_facets_only,0.9737499999999999,0.59025,0.9875
grok4.1_fast,0,E_forward_only,0.9897500000000001,0.5766249999999999,0.845
grok4.1_fast,0,E_reverse_only,0.9487499999999999,0.587,0.8462500000000001
grok4.1_fast,1,A_full_items,0.9950000000000001,0.56525,0.99375
grok4.1_fast,1,B_style_only,0.9974999999999999,0.5643749999999998,0.9875
grok4.1_fast,1,C_ipsatised,0.98125,0.5549999999999999,0.99125
grok4.1_fast,1,D_facets_only,0.9962500000000001,0.5662499999999999,0.99375
grok4.1_fast,1,E_forward_only,0.99825,0.5743750000000001,0.915
grok4.1_fast,1,E_reverse_only,0.9962500000000001,0.57175,0.9724999999999999
grok4.1_fast,2,A_full_items,0.9825000000000002,0.54925,0.8875
grok4.1_fast,2,B_style_only,0.9233750000000001,0.546125,0.9937500000000001
grok4.1_fast,2,C_ipsatised,0.9649999999999999,0.55075,0.9925
grok4.1_fast,2,D_facets_only,0.9797499999999999,0.56175,0.85625
grok4.1_fast,2,E_forward_only,0.999625,0.5685,0.7700000000000001
grok4.1_fast,2,E_reverse_only,0.9825000000000002,0.5904999999999999,0.77125
grok4.1_fast,3,A_full_items,0.9862499999999998,0.5635,0.8675
grok4.1_fast,3,B_style_only,0.9625,0.596125,0.9962500000000001
grok4.1_fast,3,C_ipsatised,0.9625,0.5740000000000001,0.97875
grok4.1_fast,3,D_facets_only,0.9775,0.6045,0.9400000000000001
grok4.1_fast,3,E_forward_only,0.99175,0.55075,0.7100000000000001
grok4.1_fast,3,E_reverse_only,0.9924999999999999,0.58325,0.7837500000000001
qwen3,0,A_full_items,0.9800000000000001,0.5775,0.9550000000000001
qwen3,0,B_style_only,0.979125,0.557625,0.9974999999999999
qwen3,0,C_ipsatised,0.9762500000000001,0.58525,0.9824999999999999
qwen3,0,D_facets_only,0.99375,0.59025,0.9875
qwen3,0,E_forward_only,0.99175,0.5766249999999999,0.845
qwen3,0,E_reverse_only,0.9800000000000001,0.587,0.8462500000000001
qwen3,1,A_full_items,0.9962500000000001,0.56525,0.99375
qwen3,1,B_style_only,0.99375,0.5643749999999998,0.9875
qwen3,1,C_ipsatised,0.97,0.5549999999999999,0.99125
qwen3,1,D_facets_only,0.99375,0.5662499999999999,0.99375
qwen3,1,E_forward_only,0.993,0.5743750000000001,0.915
qwen3,1,E_reverse_only,0.9962500000000001,0.57175,0.9724999999999999
qwen3,2,A_full_items,0.9800000000000001,0.54925,0.8875
qwen3,2,B_style_only,0.884,0.546125,0.9937500000000001
qwen3,2,C_ipsatised,0.9650000000000001,0.55075,0.9925
qwen3,2,D_facets_only,0.9674999999999999,0.56175,0.85625
qwen3,2,E_forward_only,0.9974999999999999,0.5685,0.7700000000000001
qwen3,2,E_reverse_only,0.9800000000000001,0.5904999999999999,0.77125
qwen3,3,A_full_items,0.9875,0.5635,0.8675
qwen3,3,B_style_only,0.798875,0.596125,0.9962500000000001
qwen3,3,C_ipsatised,0.96875,0.5740000000000001,0.97875
qwen3,3,D_facets_only,0.9862500000000001,0.6045,0.9400000000000001
qwen3,3,E_forward_only,0.99375,0.55075,0.7100000000000001
qwen3,3,E_reverse_only,0.99375,0.58325,0.7837500000000001
