model,cluster,variant,c2st_model,c2st_human_ceiling,c2st_constant_floor
gpt4_nano,0,E_forward_only,0.9925,0.5766249999999999,0.845
gpt4_nano,0,E_reverse_only,0.9942500000000001,0.587,0.8462500000000001
gpt4_nano,1,A_full_items,0.9995,0.56525,0.99375
gpt4_nano,1,B_style_only,0.952125,0.5730000000000001,0.9800000000000001
gpt4_nano,1,C_ipsatised,0.9787500000000001,0.5549999999999999,0.99125
gpt4_nano,1,D_facets_only,0.9879999999999999,0.5645,0.9962500000000001
gpt4_nano,1,E_forward_only,0.99475,0.5743750000000001,0.915
gpt4_nano,1,E_reverse_only,0.9977499999999999,0.57175,0.9724999999999999
gpt4_nano,2,A_full_items,0.992375,0.54925,0.8875
gpt4_nano,2,B_style_only,0.9157500000000001,0.58375,0.98125
gpt4_nano,2,C_ipsatised,0.9792500000000001,0.55075,0.9925
gpt4_nano,2,D_facets_only,0.9965000000000002,0.562875,0.90625
gpt4_nano,2,E_forward_only,0.98675,0.5685,0.7700000000000001
gpt4_nano,2,E_reverse_only,0.9911249999999999,0.5904999999999999,0.77125
gpt4_nano,3,A_full_items,0.9974999999999999,0.5635,0.8675
gpt4_nano,3,B_style_only,0.970125,0.6215,0.9962500000000001
gpt4_nano,3,C_ipsatised,0.97475,0.5740000000000001,0.97875
gpt4_nano,3,D_facets_only,0.9952500000000001,0.5752499999999999,0.8099999999999999
gpt4_nano,3,E_forward_only,1.0,0.55075,0.7100000000000001
gpt4_nano,3,E_reverse_only,0.99725,0.58325,0.7837500000000001
grok4.1_fast,0,A_full_items,0.9782500000000001,0.5775,0.9550000000000001
grok4.1_fast,0,B_style_only,0.9672499999999999,0.5576249999999999,0.9962500000000001
grok4.1_fast,0,C_ipsatised,0.9959999999999999,0.58525,0.9824999999999999
grok4.1_fast,0,D_facets_only,0.9887500000000001,0.5575000000000001,0.92125
grok4.1_fast,0,E_forward_only,0.9897500000000001,0.5766249999999999,0.845
grok4.1_fast,0,E_reverse_only,0.983875,0.587,0.8462500000000001
grok4.1_fast,1,A_full_items,0.9949999999999999,0.56525,0.99375
grok4.1_fast,1,B_style_only,0.968625,0.5730000000000001,0.9800000000000001
grok4.1_fast,1,C_ipsatised,0.994,0.5549999999999999,0.99125
grok4.1_fast,1,D_facets_only,0.9886250000000001,0.5645,0.9962500000000001
grok4.1_fast,1,E_forward_only,0.99825,0.5743750000000001,0.915
grok4.1_fast,1,E_reverse_only,0.99475,0.57175,0.9724999999999999
grok4.1_fast,2,A_full_items,0.99925,0.54925,0.8875
grok4.1_fast,2,B_style_only,0.8435,0.58375,0.98125
grok4.1_fast,2,C_ipsatised,0.9970000000000001,0.55075,0.9925
grok4.1_fast,2,D_facets_only,0.99375,0.562875,0.90625
grok4.1_fast,2,E_forward_only,0.999625,0.5685,0.7700000000000001
grok4.1_fast,2,E_reverse_only,0.9785,0.5904999999999999,0.77125
grok4.1_fast,3,A_full_items,0.9879999999999999,0.5635,0.8675
grok4.1_fast,3,B_style_only,0.9245000000000001,0.6215,0.9962500000000001
grok4.1_fast,3,C_ipsatised,0.9737500000000001,0.5740000000000001,0.97875
grok4.1_fast,3,D_facets_only,0.9662500000000002,0.5752499999999999,0.8099999999999999
grok4.1_fast,3,E_forward_only,0.99175,0.55075,0.7100000000000001
grok4.1_fast,3,E_reverse_only,0.99125,0.58325,0.7837500000000001
qwen3,0,A_full_items,0.9957499999999999,0.5775,0.9550000000000001
qwen3,0,B_style_only,0.8083750000000001,0.5576249999999999,0.9962500000000001
qwen3,0,C_ipsatised,0.9942500000000001,0.58525,0.9824999999999999
qwen3,0,D_facets_only,0.9949999999999999,0.5575000000000001,0.92125
qwen3,0,E_forward_only,0.99175,0.5766249999999999,0.845
qwen3,0,E_reverse_only,0.9962500000000001,0.587,0.8462500000000001
qwen3,1,A_full_items,0.999,0.56525,0.99375
qwen3,1,B_style_only,0.864625,0.5730000000000001,0.9800000000000001
qwen3,1,C_ipsatised,0.99925,0.5549999999999999,0.99125
qwen3,1,D_facets_only,0.9967500000000001,0.5645,0.9962500000000001
qwen3,1,E_forward_only,0.993,0.5743750000000001,0.915
qwen3,1,E_reverse_only,0.9969999999999999,0.57175,0.9724999999999999
qwen3,2,A_full_items,0.99875,0.54925,0.8875
qwen3,2,B_style_only,0.681125,0.58375,0.98125
qwen3,2,C_ipsatised,0.99725,0.55075,0.9925
qwen3,2,D_facets_only,0.9967499999999999,0.562875,0.90625
qwen3,2,E_forward_only,0.9974999999999999,0.5685,0.7700000000000001
qwen3,2,E_reverse_only,0.997625,0.5904999999999999,0.77125
qwen3,3,A_full_items,0.98125,0.5635,0.8675
qwen3,3,B_style_only,0.7652500000000001,0.6215,0.9962500000000001
qwen3,3,C_ipsatised,0.9835,0.5740000000000001,0.97875
qwen3,3,D_facets_only,0.9875,0.5752499999999999,0.8099999999999999
qwen3,3,E_forward_only,0.99375,0.55075,0.7100000000000001
qwen3,3,E_reverse_only,0.9875,0.58325,0.7837500000000001
