preprocessing,k,inertia,silhouette,calinski_harabasz,davies_bouldin,gap,gap_sd,ari_vs_shipped
zscore,2,10532475.79764155,0.13387101367720416,69029.14580054888,2.3981246825583646,0.09270713169071243,0.0008987412701236967,0.22327055785643274
zscore,3,9863179.853186259,0.09878276887098697,50773.09432436228,2.5865486068686203,0.14095859494895535,0.0009196868385621043,0.5419501588944753
zscore,4,9405989.003228527,0.08210232180644819,42139.47652919594,2.5245303453817733,0.17430108429067204,0.0012529651598520697,0.9463122404846517
zscore,5,9087571.115143927,0.08109888057986737,36304.8107648015,2.5442141922599677,0.1990538501952379,0.0011299209443703245,0.5750875686277939
zscore,6,8874470.318977855,0.07080785374747152,31711.01008889982,2.7129600759354244,0.21338947301296685,0.0012377796204886288,0.5008436586854933
zscore,7,8700682.073724004,0.06241319345744929,28319.02917143864,2.810868206851306,0.22586390364670628,0.0013196743859299157,0.40224318722271946
zscore,8,8540517.969276082,0.06357509101415028,25827.444795784068,2.6894748052848407,0.23646597886198606,0.0012068711345580114,0.34545497158167315
zscore,9,8404133.697316526,0.05763898407154477,23797.728265745696,2.7198155025794484,0.24715486473796844,0.0011100474288726718,0.3241759550636431
zscore,10,8285175.271736492,0.05732702781866007,22111.541630532374,2.704327693943273,0.25568751612826013,0.0012031424734851859,0.2885300321059078
zscore,11,8176804.501785431,0.05601815272552415,20707.67783184991,2.6459424354445624,0.26337155256255507,0.001404609130121262,0.24224776222793656
zscore,12,8075072.392656731,0.05665850893992233,19532.03834069865,2.5173248938058483,0.2708189271516659,0.0011036476938086535,0.20097763678651034
zscore,13,7994991.986685322,0.055773728241660686,18426.008697823203,2.5855800844494308,0.27599116782955235,0.0012035422008539168,0.19463484919960497
zscore,14,7917941.42656795,0.053987849657183395,17481.11168311354,2.610049305527529,0.2811452403717407,0.0012598830017540902,0.1889299688056257
zscore,15,7854420.864889318,0.05300867142080458,16600.624457026213,2.638795186799575,0.28445117852995594,0.0010504030975406749,0.17937030649297775
ipsative,2,7885410131.407093,0.1355718825933649,69681.57450473623,2.381940954789603,0.8525270213486102,0.0011942681936707585,0.22101059925601435
ipsative,3,7343310136.4720125,0.10185174840948932,52552.39488115098,2.511196878829214,0.9038181244897281,0.00118537160541031,0.4958107092373328
ipsative,4,7006014864.9287,0.08326424158782512,43303.900250432824,2.4884059276251946,0.9356614706680553,0.0011287629033140188,0.7446642307092308
ipsative,5,6778629038.84602,0.08075937126142518,37006.96167683614,2.5592026845529814,0.9579337302897173,0.0011981839081283082,0.5304484412521748
ipsative,6,6618444671.499617,0.06936510402653283,32307.436964138516,2.689085004023648,0.9721060049331349,0.0012791212945092317,0.44897673259388404
ipsative,7,6483103924.77445,0.06577514125585072,28911.92771828874,2.7644034779981017,0.9847566116674074,0.0013071055750750594,0.37975159131915365
ipsative,8,6369936349.725122,0.06375190347892457,26262.83089909436,2.6931276382591722,0.9952288011932566,0.0012912083041099868,0.31849093361546593
ipsative,9,6269873628.735244,0.05806615911866848,24164.889496442705,2.6471589488388494,1.0045987507158358,0.0011928668835074717,0.26761088508553615
ipsative,10,6182360719.633209,0.05836081975879332,22428.997444928842,2.5900270201354276,1.013088355722843,0.001139889134832547,0.24424647672060965
ipsative,11,6110858528.731599,0.05685754659996521,20902.15632383795,2.6017000811737288,1.0188327120533316,0.0012790375915876766,0.22085422566348614
ipsative,12,6050120618.230382,0.053716683728343116,19567.005044413396,2.6864059847070205,1.0236992518999983,0.0012006482418026481,0.20788639904563497
ipsative,13,5994760760.375418,0.05053530651209152,18417.653956553637,2.717201814419274,1.027627057879382,0.0011860043638362867,0.2001770072103243
ipsative,14,5945293036.744744,0.05006574239406234,17404.83839336355,2.719009967879925,1.0319056253868197,0.0011905956901471597,0.1897834891982267
ipsative,15,5899939493.684659,0.046652687682112955,16511.053424368623,2.765554156164141,1.034728937842452,0.0013276542845694014,0.17731198671668275
