model,cluster,stage,n_model,c2st_model,c2st_human_ceiling,c2st_constant_floor,df_model,df_human_ceiling,df_constant_floor,vr_model,vr_human_ceiling,vr_constant_floor,s_answer_model,s_answer_human_ceiling,s_answer_constant_floor
grok4.1_fast,0,after,40,0.9437499999999999,0.5775,0.9550000000000001,0.6423958333333334,0.940046875,0.79140625,0.5457373019400417,1.013552392608296,0.0,0.5982812500000001,0.7247916666666667,0.7936458333333334
grok4.1_fast,1,before,40,0.9962500000000001,0.56525,0.99375,0.6009374999999999,0.9440833333333334,0.8113541666666667,0.31979470726460374,1.01825641005606,0.0,0.5858854166666667,0.7519791666666666,0.8270312499999999
grok4.1_fast,1,after,40,0.9950000000000001,0.56525,0.99375,0.6144270833333334,0.9440833333333334,0.8125,0.32122507037425313,1.01825641005606,0.0,0.5829166666666666,0.7604166666666666,0.8270312499999999
grok4.1_fast,2,before,40,0.98125,0.54925,0.8875,0.7222489316239316,0.9379166666666666,0.7934375,0.5763063285007741,1.0161780748711988,0.0,,0.7073437499999999,0.7846875000000001
grok4.1_fast,2,after,40,0.9825000000000002,0.54925,0.8875,0.72890625,0.9379166666666666,0.7990104166666667,0.5740065883395101,1.0161780748711988,0.0,0.6586458333333333,0.7221875,0.7846875000000001
grok4.1_fast,3,before,40,0.9937500000000001,0.5635,0.8675,0.6455208333333333,0.9336875000000001,0.7770312500000001,0.39770559677686623,1.0220926077402093,0.0,0.61453125,0.6971354166666666,0.7790625
grok4.1_fast,3,after,40,0.9862499999999998,0.5635,0.8675,0.6423958333333333,0.9336875000000001,0.7641145833333334,0.35736513661742575,1.0220926077402093,0.0,0.61390625,0.6959375,0.7790625
qwen3,0,before,40,0.9787500000000001,0.5775,0.9550000000000001,0.68046875,0.940046875,0.7733854166666667,0.5118192334698366,1.013552392608296,0.0,0.6367708333333333,0.7220833333333333,0.7936458333333334
qwen3,0,after,40,0.9800000000000001,0.5775,0.9550000000000001,0.6867708333333333,0.940046875,0.7910937499999999,0.5950221303849894,1.013552392608296,0.0,0.6343229166666667,0.719375,0.7936458333333334
qwen3,1,before,40,0.9962500000000001,0.56525,0.99375,0.6277083333333333,0.9440833333333334,0.8030208333333333,0.352860980369618,1.01825641005606,0.0,0.5956770833333334,0.7467708333333334,0.8270312499999999
qwen3,1,after,40,0.9962500000000001,0.56525,0.99375,0.6408854166666667,0.9440833333333334,0.8169270833333333,0.3464943337422565,1.01825641005606,0.0,0.6150520833333333,0.7567187499999999,0.8270312499999999
qwen3,2,before,40,0.9910000000000002,0.54925,0.8875,0.7334375,0.9379166666666666,0.8015625,0.5717695635835193,1.0161780748711988,0.0,0.678125,0.7085416666666667,0.7846875000000001
qwen3,2,after,40,0.9800000000000001,0.54925,0.8875,0.7305208333333333,0.9379166666666666,0.7890104166666667,0.4795270501246,1.0161780748711988,0.0,0.6766145833333332,0.7134895833333333,0.7846875000000001
qwen3,3,before,40,0.9875000000000002,0.5635,0.8675,0.6834374999999999,0.9336875000000001,0.77171875,0.4485912807239379,1.0220926077402093,0.0,0.6425520833333334,0.70625,0.7790625
qwen3,3,after,40,0.9875,0.5635,0.8675,0.6934895833333333,0.9336875000000001,0.7827604166666666,0.48708635366465186,1.0220926077402093,0.0,0.6420833333333333,0.7046354166666667,0.7790625
